period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
29,133316,64055458,361042,663002,17,45076,2039294,50458,20529,27244,290216,4092,1.69
30,136227,65015815,371136,680866,17,45076,2068910,51580,20529,27244,290216,4092,0.93
31,139136,65948092,392577,717290,17,45076,2116122,52362,20529,27244,290216,4092,2.02
32,142221,66899686,407441,740414,17,45076,2147405,53296,20529,27244,290216,4092,1.17
33,145303,67863173,417422,757814,17,45076,2172668,54177,20529,27244,290216,4092,0.90
34,148382,68819496,427602,777951,17,45076,2204523,55173,20529,27244,290216,4092,1.14
35,151294,69770939,442656,804752,17,45076,2238695,55984,20529,27244,290216,4092,1.48
36,154374,70716348,456185,829299,17,45076,2278396,56895,20529,27244,290216,4092,1.34
37,157114,71687932,462581,840538,17,45076,2300042,57787,20529,27244,290216,4092,0.53
38,160494,72657030,467250,852237,17,45076,2324289,58967,20529,27244,290216,4092,0.72
39,163211,73606451,483665,878107,17,45076,2360399,59959,20529,27244,290216,4092,1.16
40,166317,74543941,500031,906454,17,45076,2404203,60763,20529,27244,290216,4092,1.52
41,169191,75507330,507973,921681,17,45076,2432369,61842,20529,27244,290216,4092,0.79
42,172150,76470730,517239,937080,17,45076,2459627,62692,20529,27244,290216,4092,0.79
43,175233,77431021,526257,954572,17,45076,2488928,63541,20529,27244,290216,4092,0.97
44,178192,78382732,539772,976549,17,45076,2523282,64565,20529,27244,290216,4092,1.10
45,181273,79324297,555589,1003328,17,45076,2565476,65745,20529,27244,290216,4092,1.41
46,183679,80293801,557563,1017231,17,45076,2593632,66896,20529,27244,290216,4092,0.59
47,186764,81257393,564940,1031740,17,45076,2619738,68025,20529,27244,290216,4092,0.70
48,189854,82228377,570941,1043114,17,45076,2641883,69001,20529,27244,290216,4092,0.59
49,192931,83183228,579253,1061773,17,45076,2678154,70191,20529,27244,290216,4092,0.92
50,195916,84147083,584966,1079432,17,45076,2707980,71024,20529,27244,290216,4092,0.83
51,199005,85095281,599548,1105825,17,45076,2743749,71784,20529,27244,290216,4092,1.43
52,201996,86051684,606653,1127289,17,45076,2777229,72755,20529,27244,290216,4092,1.10
53,204994,87031484,608548,1133598,17,45076,2792899,73682,20529,27244,290216,4092,0.22
54,208087,87981785,618394,1155549,17,45076,2831191,74620,20529,27244,290216,4092,1.09
55,211183,88927016,633321,1180608,17,45076,2870233,75610,20529,27244,290216,4092,1.33
56,214270,89884645,643226,1202565,17,45076,2903664,76482,20529,27244,290216,4092,1.12
