period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
74,4158559,254693,65889273,11004663,18,19538,24044,119029,9993753,1881,206992,4152,8.76,98957
75,4216999,257837,66723738,11154582,18,19538,24044,120411,10124179,1881,206992,4152,8.63,98957
76,4269962,260371,67571689,11310227,18,19538,24044,122059,10246233,1881,206992,4152,7.79,98957
77,4303982,263079,68465946,11405744,18,19538,24044,123735,10331024,1881,206992,4152,4.86,98957
78,4372906,266216,69278417,11584045,18,19538,24044,125109,10477193,1881,206992,4152,9.60,98957
79,4411952,269346,70155259,11717089,18,19538,24044,126741,10575593,1881,206992,4152,5.98,98957
80,4495652,272500,70934623,11924670,18,19538,24044,128079,10747780,1881,206992,4152,11.89,98957
81,4497158,275721,71908507,11957098,18,19538,24044,129672,10768429,1881,206992,4152,0.19,98957
82,4498665,278863,72880666,12026311,18,19538,24044,131315,10792177,1881,206992,4152,0.20,98957
83,4604543,282010,73603328,12273082,18,19538,24044,132562,11004768,1881,206992,4152,14.78,98957
84,4733047,285231,74268454,12562811,18,19538,24044,133996,11263650,1881,206992,4152,18.55,98957
85,4787201,288286,75109895,12719885,18,19538,24044,135701,11391239,1881,206992,4152,7.97,98957
86,4803290,296582,76052637,12799420,18,19538,24044,136976,11436388,1881,206992,4152,2.03,98957
87,4903984,306539,76799441,13012954,18,19538,24044,138021,11635831,1881,206992,4152,14.10,98957
88,4922607,309732,77723333,13110001,18,19538,24044,139739,11697745,1881,206992,4152,3.07,98957
89,5025723,312862,78457791,13348886,18,19538,24044,140890,11901458,1881,206992,4152,14.49,98957
90,5084334,316272,79286923,13505213,18,19538,24044,142201,12026978,1881,206992,4152,8.58,98957
91,5090097,324291,80221807,13574684,18,19538,24044,144036,12063739,1881,206992,4152,0.98,98957
92,5194786,334819,81011894,13794065,18,19538,24044,145256,12268829,1881,206992,4152,14.51,98957
