period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
114,13605684,603446,116055,83078824,32108165,18,36535,24122,166743,26386219,1888,206992,4152,14.72
115,13721948,606890,116055,83183698,32388723,18,36535,24122,168183,26583305,1888,206992,4152,13.84
116,13854962,614041,116055,83877659,32659568,18,36535,24122,169533,26796247,1888,206992,4152,14.93
117,13967383,616885,116055,85196213,32949204,18,36535,24122,170803,27020197,1888,206992,4152,15.88
118,14098266,622108,116055,85203065,33266204,18,36535,24122,172261,27280946,1888,206992,4152,18.54
119,14242522,629537,116055,86480668,33579427,18,36535,24122,173645,27566200,1888,206992,4152,20.57
120,14354727,632718,116055,87181359,33856254,18,36535,24122,174934,27789408,1888,206992,4152,15.56
121,14463457,641008,116055,87871985,34132713,18,36535,24122,176368,28014922,1888,206992,4152,15.49
122,14589986,648526,116055,88535307,34416395,18,36535,24122,177875,28260936,1888,206992,4152,17.54
123,14724211,651128,116055,88582103,34740888,18,36535,24122,179244,28535549,1888,206992,4152,19.69
124,14862002,658527,116055,89232116,35053612,18,36535,24122,180568,28811628,1888,206992,4152,19.45
125,14903844,669886,116055,90690108,35204398,18,36535,24122,182187,28912484,1888,206992,4152,6.46
126,14953721,673283,116055,91557433,35367148,18,36535,24122,183757,29006785,1888,206992,4152,5.58
127,15105948,680749,116055,92203515,35673363,18,36535,24122,185330,29263978,1888,206992,4152,17.74
128,15262526,691827,116055,92860887,35994800,18,36535,24122,186829,29529697,1888,206992,4152,18.98
129,15404474,694418,116055,93512183,36310235,18,36535,24122,188245,29788987,1888,206992,4152,18.48
130,15531804,696981,116055,93507940,36618848,18,36535,24122,189620,30041960,1888,206992,4152,18.04
131,15665714,699638,116055,94820471,36908352,18,36535,24122,190910,30303245,1888,206992,4152,18.78
132,15803094,703093,116055,94822254,37230959,18,36535,24122,192293,30571686,1888,206992,4152,19.52
133,15929209,708507,116055,95486308,37539253,18,36535,24122,193593,30826478,1888,206992,4152,18.26
134,16069914,714993,116055,96767492,37832413,18,36535,24122,195002,31092350,1888,206992,4152,19.10
135,16202088,718187,116055,97425753,38146559,18,36535,24122,196466,31346633,1888,206992,4152,18.13
136,16331358,721955,116055,97445550,38455735,18,36535,24122,197839,31605788,1888,206992,4152,18.27
137,16474752,730256,116055,98743995,38756339,18,36535,24122,199041,31875071,1888,206992,4152,19.22
138,16614710,733245,116055,99387515,39079943,18,36535,24122,201673,32147719,1888,206992,4152,19.54
139,16765345,740715,116055,100011676,39401608,18,36535,24122,203035,32442707,1888,206992,4152,20.86
140,16909624,748966,116055,99989532,39711543,18,36535,24122,204324,32719127,1888,206992,4152,20.08
141,17042864,752038,116055,100629296,40020668,18,36535,24122,205663,32983447,1888,206992,4152,18.74
142,17187897,759517,116055,101949803,40344036,18,36535,24122,206861,33266853,1888,206992,4152,19.79
143,17331216,767028,116055,102586207,40644074,18,36535,24122,208269,33545119,1888,206992,4152,19.75
144,17474877,769608,116055,103222309,40976081,18,36535,24122,209557,33824288,1888,206992,4152,20.09
145,17601907,775458,116055,103901512,41278839,18,36535,24122,210876,34074430,1888,206992,4152,17.37
146,17750784,781915,116055,103821412,41586635,18,36535,24122,212263,34361465,1888,206992,4152,20.42
147,17890575,785279,116055,105185727,41902541,18,36535,24122,213578,34627233,1888,206992,4152,19.05
148,18022714,793308,116055,105112552,42194395,18,36535,24122,214983,34884013,1888,206992,4152,18.17
149,18170232,803605,116055,106489787,42516640,18,36535,24122,216419,35170460,1888,206992,4152,21.00
150,18291272,806325,116055,107179390,42805943,18,36535,24122,217742,35410639,1888,206992,4152,16.88
151,18419232,809900,116055,107073574,43106814,18,36535,24122,219098,35664601,1888,206992,4152,18.01
152,18509994,816286,116055,108612873,43292670,18,36535,24122,220681,35850528,1888,206992,4152,12.61
153,18514070,819758,116055,109580007,43385034,18,36535,24122,222527,35876568,1888,206992,4152,0.32
154,18659648,827938,116055,110219072,43694105,18,36535,24122,223784,36160292,1888,206992,4152,19.84
155,18795524,835445,116055,110888232,43984226,18,36535,24122,224946,36425077,1888,206992,4152,18.75
156,18924379,838703,116055,111541879,44293097,18,36535,24122,226356,36684002,1888,206992,4152,18.33
157,19049051,846211,116055,111393918,44581930,18,36535,24122,227699,36935919,1888,206992,4152,17.42
158,19194861,857120,116055,112848512,44908848,18,36535,24122,229058,37223912,1888,206992,4152,20.90
159,19313101,860376,116055,113533225,45194528,18,36535,24122,230525,37451688,1888,206992,4152,16.34
160,19347831,863221,116055,114419861,45343424,18,36535,24122,232173,37535737,1888,206992,4152,4.75
161,19446248,866768,116055,115165061,45561548,18,36535,24122,233775,37714335,1888,206992,4152,12.25
162,19577914,869594,116055,115863164,45849801,18,36535,24122,235177,37921955,1888,206992,4152,14.71
163,19729304,877812,116055,115680783,46144716,18,36535,24122,236712,38152384,1888,206992,4152,16.72
164,19880990,889076,116055,117198387,46460496,18,36535,24122,238420,38388862,1888,206992,4152,17.06
165,20021389,892354,116055,117851171,46781070,18,36535,24122,239860,38651402,1888,206992,4152,18.62
166,20152897,895293,116055,118503374,47109112,18,36535,24122,240937,38920285,1888,206992,4152,19.20
167,20294863,902429,116055,119134351,47421625,18,36535,24122,242271,39204965,1888,206992,4152,20.37
168,20422429,905791,116055,119797463,47733177,18,36535,24122,243573,39463973,1888,206992,4152,18.41
169,20562156,909115,116055,119483080,48076829,18,36535,24122,244839,39747870,1888,206992,4152,20.31
170,20702507,917084,116055,121066543,48386913,18,36535,24122,246158,40025619,1888,206992,4152,20.29
171,20827489,919713,116055,121731743,48703738,18,36535,24122,247421,40280580,1888,206992,4152,17.91
172,20953140,927642,116055,122391780,49012637,18,36535,24122,248690,40534273,1888,206992,4152,17.91
173,21079678,934996,116055,123055018,49316118,18,36535,24122,250151,40790552,1888,206992,4152,18.69
174,21223836,938763,116055,123684443,49660675,18,36535,24122,251594,41074485,1888,206992,4152,20.35
175,21365216,946550,116055,124318616,49999996,18,36535,24122,252978,41358475,1888,206992,4152,19.96
176,21493738,952629,116055,124976416,50299146,18,36535,24122,254484,41616051,1888,206992,4152,18.34
