period,experiment_runn,measurer,IDLE,tiT,sys_evt,ipc0,wifi,esp_timer,Tmr Svc,ipc1,Heap,Stack,Mbps
94,5556346,441535,74087321,79844628,13259,1856,18992673,103776,18,19519,290608,4152,26.46,100153
95,5618709,458157,16775522,80718798,13259,1856,19190696,104876,18,19519,290608,4152,13.40,100153
96,5682004,461324,16860461,81666803,13259,1856,19406705,106108,18,19519,290608,4152,14.36,100153
97,5741769,465055,16994896,82524606,13259,1856,19593739,107138,18,19519,290608,4152,12.68,100153
98,5802406,468647,17125061,83397427,13259,1856,19782305,108247,18,19519,290608,4152,12.84,100153
99,5865728,477144,17241992,84282698,13259,1856,19981732,109382,18,19519,290608,4152,13.37,100153
100,5928259,488468,78724349,85222759,13259,1856,20194258,110575,18,19519,290608,4152,14.15,100153
101,5990790,504934,17460225,86126377,13259,1856,20403087,111731,18,19519,290608,4152,13.57,100153
102,6049544,508629,80268509,87001410,13259,1856,20598197,112860,18,19519,290608,4152,12.85,100153
103,6110023,511499,81020083,87897698,13259,1856,20800595,113902,18,19519,290608,4152,13.31,100153
104,6171682,519854,17780948,88784214,13259,1856,21008544,115012,18,19519,290608,4152,13.57,100153
105,6235721,531446,17864812,89739464,13259,1856,21224096,116200,18,19519,290608,4152,14.62,100153
106,6296406,536641,18004045,90625319,13259,1856,21422552,117311,18,19519,290608,4152,13.00,100153
107,6360728,540153,84092547,91528320,13259,1856,21629741,118387,18,19519,290608,4152,13.66,100153
108,6422960,543142,84844453,92443277,13259,1856,21834723,119453,18,19519,290608,4152,13.95,100153
109,6483949,546372,18319785,93300538,13259,1856,22029360,120614,18,19519,290608,4152,13.06,100153
110,6543410,552655,18466845,94189632,13259,1856,22229694,121763,18,19519,290608,4152,13.03,100153
111,6603349,555905,87177815,95093730,13259,1856,22438478,122849,18,19519,290608,4152,13.42,100153
112,6661306,559134,87949391,95923036,13259,1856,22620310,123925,18,19519,290608,4152,12.32,100153
113,6722987,567632,18813203,96838311,13259,1856,22831385,125035,18,19519,290608,4152,13.90,100153
114,6784691,578789,18919954,97762166,13259,1856,23036030,126164,18,19519,290608,4152,14.11,100153
115,6846766,590799,19039450,98675226,13259,1856,23240775,127273,18,19519,290608,4152,13.54,100153
116,6906436,593770,19150942,99561120,13259,1856,23438238,128327,18,19519,290608,4152,13.07,100153
117,6966383,597432,19270420,100435189,13259,1856,23633251,129355,18,19519,290608,4152,12.91,100153
118,7023276,602125,92595083,101243225,13259,1856,23812060,130477,18,19519,290608,4152,11.88,100153
119,7085914,616961,19625047,102110534,13259,1856,24005984,131562,18,19519,290608,4152,13.13,100153
120,7150794,620644,19700203,103063403,13259,1856,24216147,132625,18,19519,290608,4152,14.25,100153
121,7209899,624042,19845874,103922057,13259,1856,24406945,133701,18,19519,290608,4152,12.75,100153
122,7271035,627662,19950049,104825918,13259,1856,24606444,134790,18,19519,290608,4152,13.38,100153
123,7331853,630963,96454586,105725301,13259,1856,24805825,135856,18,19519,290608,4152,13.35,100153
124,7395843,644375,20153700,106622101,13259,1856,25013467,136997,18,19519,290608,4152,13.78,100153
125,7453855,647906,20294711,107472404,13259,1856,25204817,138018,18,19519,290608,4152,12.53,100153
126,7513223,651716,20443931,108313340,13259,1856,25388609,139074,18,19519,290608,4152,12.35,100153
127,7576463,659344,99502669,109205090,13259,1856,25592544,140198,18,19519,290608,4152,13.37,100153
128,7638589,670310,20708731,110085637,13259,1856,25782001,141291,18,19519,290608,4152,13.38,100153
129,7699510,673966,20843358,110980690,13259,1856,25977106,142491,18,19519,290608,4152,13.12,100153
130,7760214,677407,101868629,111832404,13259,1856,26163399,143521,18,19519,290608,4152,12.48,100153
131,7819034,680581,21135647,112675378,13259,1856,26350327,144628,18,19519,290608,4152,12.38,100153
132,7881369,684408,21250073,113561048,13259,1856,26553868,145778,18,19519,290608,4152,13.66,100153
133,7940170,687551,104149940,114478149,13259,1856,26757345,146854,18,19519,290608,4152,13.51,100153
134,8001546,690751,21425484,115365216,13259,1856,26959414,147914,18,19519,290608,4152,13.17,100153
135,8059388,696992,21593351,116205600,13259,1856,27140749,149038,18,19519,290608,4152,12.25,100153
136,8118800,704377,106473965,117002170,13259,1856,27317600,150078,18,19519,290608,4152,12.01,100153
137,8174219,707398,21986536,117803756,13259,1856,27492870,151214,18,19519,290608,4152,11.69,100153
138,8234239,711272,22097179,118687588,13259,1856,27685888,152193,18,19519,290608,4152,13.11,100153
139,8293102,714449,108798906,119527989,13259,1856,27879044,153334,18,19519,290608,4152,12.42,100153
140,8356808,731245,22379334,120435777,13259,1856,28079727,154394,18,19519,290608,4152,13.77,100153
141,8413685,734377,110405195,121232777,13259,1856,28254210,155584,18,19519,290608,4152,11.36,100153
142,8471065,737758,22783938,122054460,13259,1856,28429846,156613,18,19519,290608,4152,12.00,100153
143,8496228,740745,112085862,122456027,13259,1856,28520857,157837,18,19519,290608,4152,5.44,100153
144,8514223,744244,113003515,122809285,13259,1856,28587886,159370,18,19519,290608,4152,3.19,100153
145,8516019,760611,113986039,122949654,13259,1856,28611427,161228,18,19519,290608,4152,0.19,100153
146,8517786,763981,114959103,123105717,13259,1856,28635056,162692,18,19519,290608,4152,0.21,100153
147,8546402,767349,26296894,123572868,13259,1856,28730914,164022,18,19519,290608,4152,5.74,100153
148,8610852,770942,116599350,124437862,13259,1856,28918817,165136,18,19519,290608,4152,13.15,100153
149,8669826,774109,26556888,125299210,13259,1856,29099969,166178,18,19519,290608,4152,12.73,100153
150,8731193,777429,26657098,126188580,13259,1856,29293377,167253,18,19519,290608,4152,13.12,100153
151,8793021,781295,26785510,127055060,13259,1856,29488333,168425,18,19519,290608,4152,13.31,100153
152,8858785,792619,26897296,127986846,13259,1856,29691995,169531,18,19519,290608,4152,13.95,100153
153,8918390,796296,120488931,128827324,13259,1856,29875229,170832,18,19519,290608,4152,12.23,100153
154,8975058,799320,27240502,129653988,13259,1856,30054871,171725,18,19519,290608,4152,12.15,100153
155,9036364,802947,27330732,130561128,13259,1856,30258747,172800,18,19519,290608,4152,13.51,100153
156,9099566,806507,27454324,131432205,13259,1856,30457908,173883,18,19519,290608,4152,13.35,100153
157,9158466,809874,27577895,132300283,13259,1856,30648148,174895,18,19519,290608,4152,12.70,100153
158,9217350,813812,27753462,133125045,13259,1856,30825325,176070,18,19519,290608,4152,12.07,100153
159,9271236,817045,27982418,133893418,13259,1856,30988953,177123,18,19519,290608,4152,11.01,100153
160,9333972,823973,28156086,134719813,13259,1856,31170404,178100,18,19519,290608,4152,12.59,100153
161,9394443,827800,28298044,135575690,13259,1856,31355447,179141,18,19519,290608,4152,12.61,100153
162,9455341,831196,28398084,136476157,13259,1856,31549356,180335,18,19519,290608,4152,13.38,100153
163,9515944,834571,128197177,137356768,13259,1856,31746976,181470,18,19519,290608,4152,12.99,100153
164,9579624,848890,128947204,138245972,13259,1856,31960403,182561,18,19519,290608,4152,13.76,100153
165,9637203,851738,28724300,139147098,13259,1856,32166791,183661,18,19519,290608,4152,13.40,100153
166,9697025,855247,28809618,140046197,13259,1856,32376929,184785,18,19519,290608,4152,13.42,100153
167,9755720,858378,131225381,140894973,13259,1856,32568295,185894,18,19519,290608,4152,12.41,100153
168,9818630,871887,29068169,141788827,13259,1856,32776302,187017,18,19519,290608,4152,13.67,100153
169,9877436,875330,29139800,142708544,13259,1856,32984893,188118,18,19519,290608,4152,13.75,100153
170,9939212,878865,133486218,143588338,13259,1856,33186856,189118,18,19519,290608,4152,13.18,100153
171,9998936,886765,29377926,144454259,13259,1856,33390374,190206,18,19519,290608,4152,13.12,100153
172,10061146,897891,29499657,145370662,13259,1856,33597273,191363,18,19519,290608,4152,13.77,100153
173,10120086,901824,29601818,146258651,13259,1856,33795292,192416,18,19519,290608,4152,13.10,100153
174,10180940,904813,136556189,147162577,13259,1856,33999201,193533,18,19519,290608,4152,13.41,100153
175,10236115,908154,137349120,147889409,13259,1856,34159436,194595,18,19519,290608,4152,10.82,100153
176,10294721,911447,30144906,148695781,13259,1856,34329651,195668,18,19519,290608,4152,11.78,100153
177,10354322,915277,30311551,149530006,13259,1856,34508088,196794,18,19519,290608,4152,12.08,100153
178,10410846,918904,30441143,150389597,13259,1856,34690076,197827,18,19519,290608,4152,12.75,100153
179,10474564,924642,30535552,151292446,13259,1856,34898942,198864,18,19519,290608,4152,13.90,100153
180,10534186,927824,30661579,152171101,13259,1856,35093848,199939,18,19519,290608,4152,12.97,100153
period,experiment_runn,measurer,IDLE,tiT,sys_evt,ipc0,wifi,esp_timer,Tmr Svc,ipc1,Heap,Stack,Mbps,main
0,10595020,931673,30788047,153046215,13259,1856,35284416,201042,18,19519,290608,4152,12.90,100153
1,398,0,4370432,7934,24568,1856,700827,3664,18,19517,290608,4152,0.02,100238
2,4369,11745,4543721,12973,24568,1856,716678,5179,18,19517,290608,4152,0.01,100238
3,4369,14423,5527441,15266,24568,1856,731366,6529,18,19517,290608,4152,0.00,100238
4,75359,17182,6530197,852859,24568,1856,943856,7615,18,19517,290608,4152,14.59,100238
5,144138,20833,6989782,1718704,24568,1856,1159566,8734,18,19517,290608,4152,14.90,100238
6,199621,36727,6813179,2592777,24568,1856,1337592,9844,18,19517,290608,4152,11.96,100238
7,254918,40275,6929588,3478247,24568,1856,1523431,10924,18,19517,290608,4152,12.21,100238
8,312411,44018,7009171,4389626,24568,1856,1716296,12040,18,19517,290608,4152,12.68,100238
9,371753,47277,7068181,5358555,24568,1856,1916205,13149,18,19517,290608,4152,13.20,100238
10,429977,50309,7149300,6266336,24568,1856,2108049,14280,18,19517,290608,4152,12.76,100238
11,487556,54159,7244410,7170162,24568,1856,2301082,15366,18,19517,290608,4152,12.57,100238
12,546019,57395,7344109,8075723,24568,1856,2494371,16399,18,19517,290608,4152,12.50,100238
