period,experiment_runn,measurer,IDLE,tiT,ipc0,Tmr Svc,ipc1,sys_evt,wifi,esp_timer,Heap,Stack,Mbps,main
61,6762427,209946,48322648,14569644,1881,18,19520,13781,14440445,77982,206992,4152,22.70,99904
62,6887605,212624,47515994,14818029,1881,18,19520,13781,14692585,79145,206992,4152,18.01,99904
63,7003773,216041,48214538,15043416,1881,18,19520,13781,14925465,80314,206992,4152,16.76,99904
64,7120496,218543,50481966,15271421,1881,18,19520,13781,15160790,81364,206992,4152,16.66,99904
65,7235978,221111,49614804,15496615,1881,18,19520,13781,15389502,82457,206992,4152,16.18,99904
66,7352278,224499,50311964,15723074,1881,18,19520,13781,15619360,83554,206992,4152,16.71,99904
67,7468924,227146,51009566,15951742,1881,18,19520,13781,15854111,84797,206992,4152,16.71,99904
68,7581944,229418,51712109,16174985,1881,18,19520,13781,16085176,85968,206992,4152,16.17,99904
69,7697228,232626,52411146,16399837,1881,18,19520,13781,16315804,86989,206992,4152,16.34,99904
70,7701325,235828,53372208,16416124,1881,18,19520,13781,16347676,88583,206992,4152,0.99,99904
71,7783518,238953,54158528,16566921,1881,18,19520,13781,16513351,90012,206992,4152,11.26,99904
72,7950413,241947,54738247,16876143,1881,18,19520,13781,16838712,91345,206992,4152,23.62,99904
73,8114193,245146,55318624,17183262,1881,18,19520,13781,17161197,92521,206992,4152,23.68,99904
74,8275859,248240,55903837,17493214,1881,18,19520,13781,17479584,93717,206992,4152,23.07,99904
75,8391020,251832,58544010,17719932,1881,18,19520,13781,17709395,94935,206992,4152,16.69,99904
76,8508315,254867,59270630,17947065,1881,18,19520,13781,17943203,96003,206992,4152,16.64,99904
77,8621673,257417,58014959,18170544,1881,18,19520,13781,18171309,97096,206992,4152,16.27,99904
78,8735490,261092,60737754,18395143,1881,18,19520,13781,18404164,98357,206992,4152,16.67,99904
79,8852829,263641,61467595,18620106,1881,18,19520,13781,18633891,99369,206992,4152,16.35,99904
80,8969174,266269,60116138,18849003,1881,18,19520,13781,18866585,100513,206992,4152,16.58,99904
81,9082701,268906,60821321,19072558,1881,18,19520,13781,19095526,101643,206992,4152,16.41,99904
82,9199277,272587,61520075,19300792,1881,18,19520,13781,19328641,102815,206992,4152,16.74,99904
83,9313465,275455,62219461,19526521,1881,18,19520,13781,19559828,103935,206992,4152,16.45,99904
84,9429094,278749,62918185,19752431,1881,18,19520,13781,19791840,105170,206992,4152,16.44,99904
85,9546429,282041,63614489,19980242,1881,18,19520,13781,20024348,106312,206992,4152,16.78,99904
86,9663657,284814,64314792,20206550,1881,18,19520,13781,20256606,107274,206992,4152,16.38,99904
87,9776323,288451,65016382,20429516,1881,18,19520,13781,20488513,108522,206992,4152,16.43,99904
88,9891525,291510,65721997,20654788,1881,18,19520,13781,20718465,109695,206992,4152,16.48,99904
89,10009029,294438,66417545,20882909,1881,18,19520,13781,20953320,110856,206992,4152,16.69,99904
90,10124898,297535,69497627,21106395,1881,18,19520,13781,21179385,111991,206992,4152,16.17,99904
91,10240597,300716,67817647,21333640,1881,18,19520,13781,21412159,113051,206992,4152,16.68,99904
92,10357853,303607,68517192,21563540,1881,18,19520,13781,21647416,114329,206992,4152,16.56,99904
93,10470327,306895,69215759,21785829,1881,18,19520,13781,21877694,115572,206992,4152,16.17,99904
94,10585970,310182,72418350,22012606,1881,18,19520,13781,22110008,116686,206992,4152,16.62,99904
95,10703108,313525,70611008,22243338,1881,18,19520,13781,22345853,117942,206992,4152,16.56,99904
96,10815603,316407,71313190,22465803,1881,18,19520,13781,22573302,119088,206992,4152,16.28,99904
97,10930017,319869,74616081,22691230,1881,18,19520,13781,22805177,120347,206992,4152,16.55,99904
98,11046165,322634,72707514,22920309,1881,18,19520,13781,23038633,121442,206992,4152,16.71,99904
99,11160727,325665,73410937,23144207,1881,18,19520,13781,23266152,122595,206992,4152,16.34,99904
100,11275411,329122,74112058,23369966,1881,18,19520,13781,23493533,123823,206992,4152,16.36,99904
101,11392383,332431,74805035,23601068,1881,18,19520,13781,23729215,124886,206992,4152,16.88,99904
102,11507470,335154,75511658,23825301,1881,18,19520,13781,23957517,125951,206992,4152,16.36,99904
103,11622241,338596,76210944,24048076,1881,18,19520,13781,24187556,127131,206992,4152,16.43,99904
104,11738674,341957,76911111,24274105,1881,18,19520,13781,24421699,128266,206992,4152,16.45,99904
105,11855964,345385,77610115,24502080,1881,18,19520,13781,24655136,129401,206992,4152,16.71,99904
106,11973155,349302,81186220,24728523,1881,18,19520,13781,24885199,130610,206992,4152,16.44,99904
107,12089531,352239,79016635,24956503,1881,18,19520,13781,25116435,131657,206992,4152,16.64,99904
108,12205759,355682,79712831,25182354,1881,18,19520,13781,25347013,132851,206992,4152,16.52,99904
109,12318146,359151,80416733,25402912,1881,18,19520,13781,25572814,134046,206992,4152,16.17,99904
110,12434759,362608,81114526,25630573,1881,18,19520,13781,25805404,135205,206992,4152,16.68,99904
111,12552535,366084,81810150,25861215,1881,18,19520,13781,26039122,136341,206992,4152,16.75,99904
112,12666774,369545,82514558,26082485,1881,18,19520,13781,26264229,137539,206992,4152,16.17,99904
113,12783361,373350,83210275,26311906,1881,18,19520,13781,26499695,138773,206992,4152,16.71,99904
114,12900311,375798,87015727,26540815,1881,18,19520,13781,26731838,139861,206992,4152,16.71,99904
115,13017642,378891,84616771,26764097,1881,18,19520,13781,26959404,141052,206992,4152,16.18,99904
116,13134037,382646,88478087,26990429,1881,18,19520,13781,27189023,142167,206992,4152,16.60,99904
117,13249875,385519,86022698,27216071,1881,18,19520,13781,27418338,143263,206992,4152,16.53,99904
118,13363981,388126,86726866,27440969,1881,18,19520,13781,27649274,144506,206992,4152,16.29,99904
119,13477395,391974,90668344,27663559,1881,18,19520,13781,27879666,145683,206992,4152,16.32,99904
120,13594117,394983,88130037,27893020,1881,18,19520,13781,28111427,146993,206992,4152,16.96,99904
121,13709863,397484,88834890,28117917,1881,18,19520,13781,28340516,148031,206992,4152,16.32,99904
122,13823630,400938,92858657,28341946,1881,18,19520,13781,28571591,149069,206992,4152,16.71,99904
123,13939275,403675,90247701,28571180,1881,18,19520,13781,28805677,150216,206992,4152,16.65,99904
124,14053994,406332,90951321,28797342,1881,18,19520,13781,29037350,151420,206992,4152,16.23,99904
125,14170024,410023,95043895,29025606,1881,18,19520,13781,29271309,152637,206992,4152,16.71,99904
126,14287524,412391,92353204,29255738,1881,18,19520,13781,29503047,153785,206992,4152,16.68,99904
127,14402368,415058,93059621,29478849,1881,18,19520,13781,29730102,154739,206992,4152,16.21,99904
128,14516650,418525,93759775,29705948,1881,18,19520,13781,29960639,156033,206992,4152,16.71,99904
129,14632360,421123,94465489,29934154,1881,18,19520,13781,30191806,157236,206992,4152,16.49,99904
130,14746538,424224,95164856,30160280,1881,18,19520,13781,30422984,158465,206992,4152,16.40,99904
131,14862257,427689,95858212,30388893,1881,18,19520,13781,30655119,159695,206992,4152,16.43,99904
132,14979185,430399,96553612,30617072,1881,18,19520,13781,30888553,160840,206992,4152,16.69,99904
133,15094962,432870,100876831,30842772,1881,18,19520,13781,31119635,161978,206992,4152,16.44,99904
134,15209189,436102,97961733,31066359,1881,18,19520,13781,31346420,163073,206992,4152,16.21,99904
135,15325548,439689,98652707,31296489,1881,18,19520,13781,31583466,164367,206992,4152,16.81,99904
136,15439480,442564,99359513,31520640,1881,18,19520,13781,31812921,165487,206992,4152,16.48,99904
137,15557399,446076,103802402,31751329,1881,18,19520,13781,32049098,166616,206992,4152,16.67,99904
138,15673755,449072,104532716,31980526,1881,18,19520,13781,32284196,167782,206992,4152,16.61,99904
139,15791475,451764,101463428,32206353,1881,18,19520,13781,32515607,168827,206992,4152,16.29,99904
140,15909872,455431,105985450,32433870,1881,18,19520,13781,32749710,170040,206992,4152,16.72,99904
141,16026333,458256,102863053,32661603,1881,18,19520,13781,32984085,171353,206992,4152,16.48,99904
142,16142453,461509,103563211,32886715,1881,18,19520,13781,33213085,172510,206992,4152,16.41,99904
143,16257421,464346,104265012,33112199,1881,18,19520,13781,33442865,173597,206992,4152,16.62,99904
144,16376693,467539,104966440,33344205,1881,18,19520,13781,33679570,174759,206992,4152,16.66,99904
145,16494213,470509,105669029,33568998,1881,18,19520,13781,33910021,175793,206992,4152,16.29,99904
146,16611800,476647,106368977,33799138,1881,18,19520,13781,34142408,176947,206992,4152,16.71,99904
147,16726624,479725,111095302,34025110,1881,18,19520,13781,34375164,178001,206992,4152,16.64,99904
148,16841403,483024,107779787,34244850,1881,18,19520,13781,34600736,179043,206992,4152,16.25,99904
149,16959070,486301,112554282,34473754,1881,18,19520,13781,34834378,180208,206992,4152,16.71,99904
150,17075440,489613,109177191,34701282,1881,18,19520,13781,35067879,181348,206992,4152,16.72,99904
151,17190460,495027,109882483,34925508,1881,18,19520,13781,35298541,182645,206992,4152,16.17,99904
152,17307508,498803,110583666,35153042,1881,18,19520,13781,35531016,183784,206992,4152,16.65,99904
153,17427864,501608,111281311,35382257,1881,18,19520,13781,35766606,184887,206992,4152,16.75,99904
154,17541343,504443,111988438,35605494,1881,18,19520,13781,35993007,186003,206992,4152,16.20,99904
155,17657757,508270,116920372,35834198,1881,18,19520,13781,36227079,187131,206992,4152,16.69,99904
156,17774608,512678,113387553,36061445,1881,18,19520,13781,36460217,188326,206992,4152,16.70,99904
157,17887580,515311,114095545,36284615,1881,18,19520,13781,36688805,189519,206992,4152,16.17,99904
158,18003774,519104,114793323,36512609,1881,18,19520,13781,36921133,190711,206992,4152,16.71,99904
159,18122967,521965,115491316,36742492,1881,18,19520,13781,37153879,191864,206992,4152,16.71,99904
160,18237405,524569,116198387,36965319,1881,18,19520,13781,37383633,192959,206992,4152,16.17,99904
161,18352647,528381,116900486,37189767,1881,18,19520,13781,37614350,193963,206992,4152,16.68,99904
162,18470350,531224,117596973,37420440,1881,18,19520,13781,37849613,195307,206992,4152,16.66,99904
163,18581529,533717,118300807,37643830,1881,18,19520,13781,38080468,196541,206992,4152,16.26,99904
164,18696688,537188,118997070,37869851,1881,18,19520,13781,38310871,197797,206992,4152,16.43,99904
165,18814112,540809,119698897,38100293,1881,18,19520,13781,38545149,198957,206992,4152,16.99,99904
166,18929313,543845,120402778,38324238,1881,18,19520,13781,38774405,200057,206992,4152,16.17,99904
167,19044566,547473,125683157,38551197,1881,18,19520,13781,39006762,201191,206992,4152,16.67,99904
168,19161375,550178,121802764,38780371,1881,18,19520,13781,39239076,202372,206992,4152,16.72,99904
169,19275377,552914,122500388,39006620,1881,18,19520,13781,39469951,203659,206992,4152,16.21,99904
170,19389440,556429,123200474,39231200,1881,18,19520,13781,39700379,204841,206992,4152,16.38,99904
171,19507098,559203,123894831,39461496,1881,18,19520,13781,39938824,205975,206992,4152,16.78,99904
172,19621263,562002,124602980,39686281,1881,18,19520,13781,40169262,207194,206992,4152,16.19,99904
173,19737735,565417,130067019,39914383,1881,18,19520,13781,40401101,208357,206992,4152,16.70,99904
174,19855078,568640,126004831,40142797,1881,18,19520,13781,40630943,209405,206992,4152,16.69,99904
175,19968886,571167,126700226,40367381,1881,18,19520,13781,40860445,210620,206992,4152,16.20,99904
176,20084666,574638,132270237,40591204,1881,18,19520,13781,41089686,211909,206992,4152,16.42,99904
177,20202766,577816,128090153,40816998,1881,18,19520,13781,41320498,213437,206992,4152,15.94,99904
178,20327271,580386,128760753,41058157,1881,18,19520,13781,41567596,214792,206992,4152,17.24,99904
179,20435695,583423,129488042,41258930,1881,18,19520,13781,41767412,216124,206992,4152,13.81,99904
