period,experiment_runn,measurer,IDLE,tiT,sys_evt,ipc0,wifi,esp_timer,TmrSvc,ipc1,Heap,Stack,Mbps,main
140,10018900,483307,31438977,108932616,24031,1836,30119690,174974,19,19478,290608,4152,16.61,99161
141,10096384,487045,31631669,109725798,24031,1836,30330163,176248,19,19478,290608,4152,15.41,99161
142,10172673,490056,31829324,110517887,24031,1836,30538368,177502,19,19478,290608,4152,15.35,99161
143,10246084,493649,32041086,111293882,24031,1836,30744479,178671,19,19478,290608,4152,15.12,99161
144,10324573,496741,32195443,112132771,24031,1836,30963856,179979,19,19478,290608,4152,16.30,99161
145,10399547,500129,32373875,112940289,24031,1836,31176160,181177,19,19478,290608,4152,15.73,99161
146,10477444,503785,32552776,113745713,24031,1836,31387427,182466,19,19478,290608,4152,15.67,99161
147,10557863,506724,32694681,114588910,24031,1836,31608627,183701,19,19478,290608,4152,16.40,99161
148,10632522,510481,32869682,115402008,24031,1836,31825057,184807,19,19478,290608,4152,15.89,99161
149,10707262,513670,33085319,116179018,24031,1836,32030433,186038,19,19478,290608,4152,15.06,99161
150,10784300,516854,33293104,116957975,24031,1836,32234696,187267,19,19478,290608,4152,15.09,99161
151,10861943,520040,33464687,117774458,24031,1836,32449883,188568,19,19478,290608,4152,15.85,99161
152,10936391,523989,33673374,118559863,24031,1836,32658681,189903,19,19478,290608,4152,15.28,99161
153,11012783,527104,33818337,119413563,24031,1836,32890518,191217,19,19478,290608,4152,16.63,99161
154,11088551,530506,33987356,120235604,24031,1836,33111510,192473,19,19478,290608,4152,15.95,99161
155,11164967,534272,115143329,121037391,24031,1836,33326573,193731,19,19478,290608,4152,15.41,99161
156,11239680,537703,115866811,121841534,24031,1836,33543886,194847,19,19478,290608,4152,15.63,99161
157,11314128,540893,34527504,122661864,24031,1836,33769672,196052,19,19478,290608,4152,15.98,99161
158,11391861,544501,34669403,123508690,24031,1836,33996372,197352,19,19478,290608,4152,16.46,99161
159,11466045,547975,34838250,124332512,24031,1836,34219413,198609,19,19478,290608,4152,16.00,99161
160,11539529,551189,35020946,125135261,24031,1836,34438900,199843,19,19478,290608,4152,15.63,99161
161,11618843,554879,35154020,125985096,24031,1836,34669353,200990,19,19478,290608,4152,16.67,99161
162,11694882,558283,120193609,126825675,24031,1836,34897283,202278,19,19478,290608,4152,16.26,99161
163,11768954,561239,35464635,127665812,24031,1836,35124461,203460,19,19478,290608,4152,16.36,99161
164,11845833,564509,35593528,128517663,24031,1836,35356729,204728,19,19478,290608,4152,16.74,99161
165,11922015,567992,35733628,129380798,24031,1836,35594783,206008,19,19478,290608,4152,16.76,99161
166,11996833,571486,123067393,130193879,24031,1836,35815051,207271,19,19478,290608,4152,15.82,99161
167,12073177,575501,36052036,131043421,24031,1836,36048522,208553,19,19478,290608,4152,16.60,99161
168,12151727,578889,36159497,131934058,24031,1836,36288740,209855,19,19478,290608,4152,17.28,99161
169,12227277,581684,36299631,132783490,24031,1836,36519733,211015,19,19478,290608,4152,16.52,99161
170,12301954,585672,36457230,133614084,24031,1836,36743604,212275,19,19478,290608,4152,16.13,99161
171,12374318,588709,36631511,134428112,24031,1836,36962144,213572,19,19478,290608,4152,15.72,99161
172,12448612,592719,36809672,135236416,24031,1836,37181814,214806,19,19478,290608,4152,15.61,99161
173,12519510,596196,37017807,136027220,24031,1836,37402265,216102,19,19478,290608,4152,15.27,99161
174,12598300,599636,37136786,136907839,24031,1836,37640178,217317,19,19478,290608,4152,17.06,99161
175,12670253,602928,37303481,137735354,24031,1836,37869134,218515,19,19478,290608,4152,16.02,99161
176,12719468,606336,37772409,138261824,24031,1836,38014344,219751,19,19478,290608,4152,10.01,99161
177,12794062,610441,37933145,139094609,24031,1836,38241411,221035,19,19478,290608,4152,16.07,99161
178,12867744,613882,38081772,139937878,24031,1836,38470380,222318,19,19478,290608,4152,16.33,99161
179,12942205,617410,38243058,140772529,24031,1836,38696237,223626,19,19478,290608,4152,16.08,99161
180,13012370,621567,38447237,141559695,24031,1836,38911798,224952,19,19478,290608,4152,15.22,99161
181,13084857,625160,38639347,142359625,24031,1836,39134123,226200,19,19478,290608,4152,15.40,99161
182,13160625,628416,38811751,143184640,24031,1836,39358097,227398,19,19478,290608,4152,15.89,99161
