period,wifi,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,sys_evt,esp_timer,ipc0,Heap,Stack,Mbps
85,20524393,26894025,9782913,396334,113864,61589525,19,36496,24540,113064,1881,206992,4152,16.44
86,20766344,27184862,9901345,403890,113864,62273867,19,36496,24540,114426,1881,206992,4152,16.56
87,21010712,27434544,10021398,413329,113864,59847188,19,36496,24540,115815,1881,206992,4152,16.83
88,21250396,27688643,10140032,423265,113864,63658111,19,36496,24540,116974,1881,206992,4152,16.68
89,21487480,27943088,10255757,430353,113864,61260796,19,36496,24540,118295,1881,206992,4152,16.72
90,21724794,28201668,10378949,433288,113864,65030794,19,36496,24540,119642,1881,206992,4152,16.39
91,21964229,28491899,10501573,437770,113864,65713140,19,36496,24540,120849,1881,206992,4152,16.55
92,22200245,28743661,10619121,441171,113864,63346276,19,36496,24540,122059,1881,206992,4152,16.75
93,22443724,29010692,10741081,444743,113864,67092297,19,36496,24540,123216,1881,206992,4152,16.71
94,22679576,29262542,10857626,450608,113864,67786183,19,36496,24540,124466,1881,206992,4152,16.25
95,22920076,29511678,10978395,454277,113864,68470496,19,36496,24540,125841,1881,206992,4152,16.62
96,23162732,29787833,11100183,457150,113864,66138447,19,36496,24540,127083,1881,206992,4152,16.88
97,23396015,30039107,11217912,463438,113864,69845715,19,36496,24540,128324,1881,206992,4152,16.23
98,23638987,30310674,11337924,466824,113864,70525629,19,36496,24540,129573,1881,206992,4152,16.72
99,23880386,30586455,11455977,472774,113864,71215618,19,36496,24540,130916,1881,206992,4152,16.75
100,24116235,30881619,11572690,483966,113864,68895217,19,36496,24540,132223,1881,206992,4152,16.40
101,24357087,31162506,11693731,491201,113864,72593595,19,36496,24540,133382,1881,206992,4152,16.48
102,24595199,31455506,11813006,493730,113864,73282230,19,36496,24540,134616,1881,206992,4152,16.56
103,24839173,31734405,11931682,499131,113864,73967625,19,36496,24540,135921,1881,206992,4152,16.77
104,25077965,32003504,12050515,507783,113864,74650989,19,36496,24540,137355,1881,206992,4152,16.72
105,25314979,32275788,12169422,511662,113864,75339241,19,36496,24540,138616,1881,206992,4152,16.70
106,25557384,32537655,12289398,514498,113864,73033809,19,36496,24540,140008,1881,206992,4152,16.53
107,25797338,32810210,12408583,517596,113864,76706962,19,36496,24540,141251,1881,206992,4152,16.46
108,26039445,33072933,12531094,524743,113864,77385831,19,36496,24540,142715,1881,206992,4152,16.75
109,26277092,33374173,12644431,528726,113864,75089161,19,36496,24540,143987,1881,206992,4152,16.40
110,26517718,33663172,12760921,532316,113864,78759913,19,36496,24540,145232,1881,206992,4152,16.68
111,26756824,33949104,12879298,540470,113864,76444926,19,36496,24540,146452,1881,206992,4152,16.48
112,27000905,34233023,13002793,548309,113864,80139321,19,36496,24540,147724,1881,206992,4152,17.16
